"Población total y de 5 años y más según características demográficas y sociales"
""
"Consulta de: Población total   Por: Sexo y Edad quinquenal   Según: Año censal"
"","","1990","1995","2000","2005","2010",""
"Total","Total","81,249,645","91,158,290","97,483,412","103,263,388","112,336,538"
"Total","De 0 a 4 años","10,195,178","10,724,100","10,635,157","10,186,243","10,528,322"
"Total","De 5 a 9 años","10,562,234","10,867,563","11,215,323","10,511,738","11,047,537"
"Total","De 10 a 14 años","10,389,092","10,670,048","10,736,493","10,952,123","10,939,937"
"Total","De 15 a 19 años","9,664,403","10,142,071","9,992,135","10,109,021","11,026,112"
"Total","De 20 a 24 años","7,829,163","9,397,424","9,071,134","8,964,629","9,892,271"
"Total","De 25 a 29 años","6,404,512","7,613,090","8,157,743","8,103,358","8,788,177"
"Total","De 30 a 34 años","5,387,619","6,564,605","7,136,523","7,933,951","8,470,798"
"Total","De 35 a 39 años","4,579,116","5,820,178","6,352,538","7,112,526","8,292,987"
"Total","De 40 a 44 años","3,497,770","4,434,317","5,194,833","6,017,268","7,009,226"
"Total","De 45 a 49 años","2,971,860","3,612,452","4,072,091","5,015,255","5,928,730"
"Total","De 50 a 54 años","2,393,791","2,896,049","3,357,953","4,090,650","5,064,291"
"Total","De 55 a 59 años","1,894,484","2,231,897","2,559,231","3,117,071","3,895,365"
"Total","De 60 a 64 años","1,611,317","1,941,953","2,198,146","2,622,476","3,116,466"
"Total","De 65 a 69 años","1,183,651","1,425,809","1,660,785","1,958,069","2,317,265"
"Total","De 70 a 74 años","827,027","1,079,803","1,245,674","1,496,691","1,873,934"
"Total","De 75 a 79 años","590,836","666,196","865,270","1,048,315","1,245,483"
"Total","De 80 a 84 años","401,832","434,120","483,876","657,011","798,936"
"Total","De 85 a 89 años","225,450","252,802","290,051","345,154","454,164"
"Total","De 90 a 94 años","91,189","105,150","122,006","132,325","164,924"
"Total","De 95 a 99 años","37,689","49,764","62,892","61,145","65,732"
"Total","De 100 y más años","19,167","14,046","19,757","17,649","18,475"
"Total","No especificado","492,265","214,853","2,053,801","2,810,720","1,397,406"
"Hombre","Total","39,893,969","44,900,499","47,592,253","50,249,955","54,855,231"
"Hombre","De 0 a 4 años","5,160,002","5,449,356","5,401,306","5,175,913","5,346,943"
"Hombre","De 5 a 9 años","5,338,285","5,515,644","5,677,711","5,339,127","5,604,175"
"Hombre","De 10 a 14 años","5,230,658","5,404,261","5,435,737","5,545,910","5,547,613"
"Hombre","De 15 a 19 años","4,759,892","5,022,243","4,909,648","4,995,906","5,520,121"
"Hombre","De 20 a 24 años","3,738,128","4,538,686","4,303,600","4,253,440","4,813,204"
"Hombre","De 25 a 29 años","3,050,595","3,652,995","3,861,482","3,805,724","4,205,975"
"Hombre","De 30 a 34 años","2,578,736","3,152,462","3,383,356","3,745,974","4,026,031"
"Hombre","De 35 a 39 años","2,210,565","2,804,296","3,023,328","3,371,372","3,964,738"
"Hombre","De 40 a 44 años","1,705,013","2,173,041","2,494,771","2,871,549","3,350,322"
"Hombre","De 45 a 49 años","1,452,573","1,763,505","1,957,177","2,388,149","2,824,364"
"Hombre","De 50 a 54 años","1,161,875","1,418,508","1,624,033","1,959,720","2,402,451"
"Hombre","De 55 a 59 años","918,864","1,083,293","1,234,072","1,497,981","1,869,537"
"Hombre","De 60 a 64 años","769,917","929,650","1,045,404","1,243,788","1,476,667"
"Hombre","De 65 a 69 años","567,641","674,004","779,666","922,592","1,095,273"
